Date/Time,Temperature (K),Temperature (°C),Temperature (°F),Humidity (%),Visibility (m),Weather Description
"2024-11-17 19:41:59",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:05",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:11",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:17",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:23",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:28",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:34",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:40",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:42:45",294.05,20.90,69.62,64.00,2000.00,"smoke"
"2024-11-17 19:49:03",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:09",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:15",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:20",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:26",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:32",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:37",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:43",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:48",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:54",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:49:59",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:50:05",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:50:11",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:08",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:14",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:19",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:25",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:30",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:36",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:42",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:47",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:52",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:54:58",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:55:04",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:55:09",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 19:55:15",296.05,22.90,73.22,56.00,2000.00,"smoke"
"2024-11-17 20:15:00",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:06",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:11",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:17",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:22",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:28",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:34",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:39",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:45",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:51",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:15:56",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:16:02",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:16:08",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:17:44",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:17:50",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:17:55",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:01",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:06",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:12",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:17",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:23",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:28",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:34",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:40",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:45",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:18:51",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:14",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:20",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:25",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:31",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:37",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:43",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:48",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:54",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:19:59",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:20:05",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:20:10",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:20:16",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:20:21",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:22:35",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:22:40",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:22:46",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:22:51",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:22:57",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:02",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:08",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:13",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:19",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:24",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:30",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:36",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:23:41",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:24:49",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:24:54",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:00",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:05",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:11",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:17",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:22",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:28",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:33",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:39",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:44",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:50",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:25:56",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:27:22",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:27:28",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:27:33",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:27:39",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:27:44",298.05,24.90,76.82,50.00,2500.00,"haze"
"2024-11-17 20:27:50",299.05,25.90,78.62,44.00,2500.00,"haze"
